trt,trtn,rep,peso,kgha,scha
Controle,1,1,4.45,4949.67,82.49
Controle,1,2,4.46,4950.35,82.51
Controle,1,3,3.23,3585.80,59.76
Controle,1,4,3.30,3665.78,61.10
Atectra,2,1,4.47,4970.35,82.84
Atectra,2,2,3.59,3986.47,66.44
Atectra,2,3,4.03,4474.54,74.58
Atectra,2,4,3.65,4057.07,67.62
Atectra + Vapor Grip,3,1,4.48,4979.28,82.99
Atectra + Vapor Grip,3,2,4.43,4925.45,82.09
Atectra + Vapor Grip,3,3,3.95,4389.84,73.16
Atectra + Vapor Grip,3,4,3.27,3632.80,60.55
Atectra + Roundup Transorb R,4,1,4.56,5071.55,84.53
Atectra + Roundup Transorb R,4,2,3.98,4423.51,73.73
Atectra + Roundup Transorb R,4,3,4.11,4571.01,76.18
Atectra + Roundup Transorb R,4,4,3.31,3675.55,61.26
Atectra + Roundup Transorb R + Vapor Grip,5,1,4.43,4917.83,81.96
Atectra + Roundup Transorb R + Vapor Grip,5,2,4.64,5157.38,85.96
Atectra + Roundup Transorb R + Vapor Grip,5,3,4.08,4534.39,75.57
Atectra + Roundup Transorb R + Vapor Grip,5,4,3.67,4074.86,67.91
Atectra + Roundup WG,6,1,4.40,4889.82,81.50
Atectra + Roundup WG,6,2,3.80,4217.17,70.29
Atectra + Roundup WG,6,3,3.89,4326.65,72.11
Atectra + Roundup WG,6,4,3.32,3693.38,61.56
Atectra + Roundup WG + Vapor Grip,7,1,4.07,4522.31,75.37
Atectra + Roundup WG + Vapor Grip,7,2,4.21,4674.51,77.91
Atectra + Roundup WG + Vapor Grip,7,3,4.46,4961.03,82.68
Atectra + Roundup WG + Vapor Grip,7,4,4.03,4481.27,74.69
Atectra + Roundup Original Mais,8,1,4.56,5068.33,84.47
Atectra + Roundup Original Mais,8,2,3.92,4359.10,72.65
Atectra + Roundup Original Mais,8,3,3.17,3523.21,58.72
Atectra + Roundup Original Mais,8,4,3.06,3400.77,56.68
Atectra + Roundup Original Mais + Vapor Grip,9,1,4.30,4776.66,79.61
Atectra + Roundup Original Mais + Vapor Grip,9,2,3.87,4304.09,71.73
Atectra + Roundup Original Mais + Vapor Grip,9,3,4.23,4698.87,78.31
Atectra + Roundup Original Mais + Vapor Grip,9,4,3.63,4036.85,67.28
Atectra + Roundup Transorb  ,10,1,4.26,4735.64,78.93
Atectra + Roundup Transorb  ,10,2,4.58,5089.35,84.82
Atectra + Roundup Transorb  ,10,3,3.83,4254.26,70.90
Atectra + Roundup Transorb  ,10,4,3.90,4336.17,72.27
Atectra + Roundup Transorb + Vapor Grip,11,1,4.13,4587.62,76.46
Atectra + Roundup Transorb + Vapor Grip,11,2,3.54,3932.04,65.53
Atectra + Roundup Transorb + Vapor Grip,11,3,3.57,3964.06,66.07
Atectra + Roundup Transorb + Vapor Grip,11,4,3.77,4190.32,69.84
