#,Treatment,Repetition,Pressure,Nozzle,Dv 10 ,Dv 50 ,Dv 90,Span, % < 100 um, % < 150 um
1,Água,A,3,ULDMax025,"         305,9",               823,"            1.611,0","                    1,6","                        0,7","                        2,5"
1,Água,B,3,ULDMax025,"         342,1",               913,"            1.727,0","                    1,5","                        0,6","                        2,4"
1,Água,C,3,ULDMax025,"         310,1",               856,"            1.686,0","                    1,6","                        0,8","                        2,8"
1,Água,D,3,ULDMax025,"         287,0",               836,"            1.648,0","                    1,6","                        0,6","                        2,6"
1,Água,A,5,ULDMax025,"         203,6",               589,"            1.221,0","                    1,7","                        1,8","                        5,6"
1,Água,B,5,ULDMax025,"         211,5",               630,"            1.294,0","                    1,7","                        1,5","                        5,0"
1,Água,C,5,ULDMax025,"         197,0",               610,"            1.227,0","                    1,7","                        2,0","                        6,0"
1,Água,D,5,ULDMax025,"         201,3",               621,"            1.331,0","                    1,8","                        1,6","                        5,5"
1,Água,E,5,ULDMax025,"         196,3",               593,"            1.328,0","                    1,9","                        1,9","                        5,8"
1,Água,A,3,TTI025,"         315,5",               815,"            1.629,0","                    1,6","                        0,5","                        2,1"
1,Água,B,3,TTI025,"         296,7",               821,"            1.612,0","                    1,6","                        0,6","                        2,5"
1,Água,C,3,TTI025,"         315,3",               830,"            1.615,0","                    1,6","                        0,5","                        2,1"
1,Água,D,3,TTI025,"         301,8",               807,"            1.586,0","                    1,6","                        0,6","                        2,6"
1,Água,E,3,TTI025,"         293,3",               785,"            1.567,0","                    1,6","                        0,6","                        2,5"
1,Água,A,5,TTI025,"         220,7",               624,"            1.305,0","                    1,7","                        1,0","                        4,0"
1,Água,B,5,TTI025,"         218,4",               637,"            1.322,0","                    1,7","                        1,2","                        4,4"
1,Água,C,5,TTI025,"         223,4",               635,"            1.342,0","                    1,8","                        1,1","                        4,0"
1,Água,D,5,TTI025,"         218,5",               625,"            1.338,0","                    1,8","                        1,1","                        4,3"
1,Água,A,3,ULD025,"         150,8",               353,"                727,6","                    1,6","                        2,7","                        9,9"
1,Água,B,3,ULD025,"         151,3",               342,"                698,4","                    1,6","                        2,3","                        9,7"
1,Água,C,3,ULD025,"         149,1",               349,"                724,4","                    1,6","                        2,5","                      10,2"
1,Água,D,3,ULD025,"         145,5",               342,"                717,0","                    1,7","                        2,8","                      10,9"
1,Água,A,5,ULD025,"         126,8",               268,"                573,1","                    1,7","                        4,2","                      16,5"
1,Água,B,5,ULD025,"         125,1",               269,"                589,7","                    1,7","                        4,6","                      16,8"
1,Água,C,5,ULD025,"         124,3",               268,"                568,9","                    1,7","                        4,7","                      17,1"
1,Água,D,5,ULD025,"         125,7",               270,"                582,5","                    1,7","                        4,5","                      16,7"
2,"Atectra + FluiFlex 0,1%",A,3,ULDMax025,"         367,1",               821,"            1.556,0","                    1,4","                        0,6","                        2,0"
2,"Atectra + FluiFlex 0,1%",B,3,ULDMax025,"         366,8",               802,"            1.519,0","                    1,4","                        0,6","                        2,1"
2,"Atectra + FluiFlex 0,1%",C,3,ULDMax025,"         355,9",               836,"            1.566,0","                    1,4","                        0,3","                        1,9"
2,"Atectra + FluiFlex 0,1%",D,3,ULDMax025,"         352,0",               844,"            1.596,0","                    1,7","                        0,4","                        1,8"
2,"Atectra + FluiFlex 0,1%",A,5,ULDMax025,"         232,6",               594,"            1.149,0","                    1,5","                        1,2","                        4,1"
2,"Atectra + FluiFlex 0,1%",B,5,ULDMax025,"         229,2",               601,"            1.120,0","                    1,5","                        1,3","                        4,4"
