treat,unit,treatn,dat,rep,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300,auc 
untreated,45,1,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,46,1,28,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,47,1,28,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
untreated,48,1,28,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300
DGA,49,2,28,1,9,3,3,2,2,2,2,1,1,1,1,1,1,1,1,620
DGA,50,2,28,2,9,3,3,2,2,2,1,1,1,1,1,1,1,1,1,600
DGA,51,2,28,3,9,3,3,3,2,2,2,1,1,1,1,1,1,1,1,640
DGA,52,2,28,4,8,3,3,2,2,2,1,1,1,1,1,1,1,1,1,580
DGA + Vapor Grip,53,3,28,1,7,3,2,2,2,1,1,1,1,1,1,1,1,1,1,520
DGA + Vapor Grip,54,3,28,2,7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,500
DGA + Vapor Grip,55,3,28,3,8,3,3,2,2,2,1,1,1,1,1,1,1,1,1,580
DGA + Vapor Grip,56,3,28,4,7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Transorb_R,57,4,28,1,7,3,2,2,1,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Transorb_R,58,4,28,2,6,3,2,2,1,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb_R,59,4,28,3,7,3,3,2,2,2,1,1,1,1,1,1,1,1,1,560
DGA + R_Transorb_R,60,4,28,4,6,3,3,2,2,2,1,1,1,1,1,1,1,1,1,540
DGA + R_Transorb_R + Vapor Grip,61,5,28,1,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb_R + Vapor Grip,62,5,28,2,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb_R + Vapor Grip,63,5,28,3,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb_R + Vapor Grip,64,5,28,4,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_WG,65,6,28,1,8,3,2,2,2,1,1,1,1,1,1,1,1,1,1,540
DGA + R_WG,66,6,28,2,9,3,3,2,2,2,1,1,1,1,1,1,1,1,1,600
DGA + R_WG,67,6,28,3,8,3,2,2,2,2,1,1,1,1,1,1,1,1,1,560
DGA + R_WG,68,6,28,4,9,3,3,2,2,2,2,1,1,1,1,1,1,1,1,620
DGA + R_WG + Vapor Grip,69,7,28,1,6,3,2,2,1,1,1,1,1,1,1,1,1,1,1,480
DGA + R_WG + Vapor Grip,70,7,28,2,6,3,2,2,1,1,1,1,1,1,1,1,1,1,1,480
DGA + R_WG + Vapor Grip,71,7,28,3,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_WG + Vapor Grip,72,7,28,4,7,3,3,2,2,2,1,1,1,1,1,1,1,1,1,560
DGA + R_Original,73,8,28,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_Original,74,8,28,2,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Original,75,8,28,3,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Original,76,8,28,4,6,3,2,2,2,1,1,1,1,1,1,1,1,1,1,500
DGA + R_Original + Vapor Grip,77,9,28,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,380
DGA + R_Original + Vapor Grip,78,9,28,2,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_Original + Vapor Grip,79,9,28,3,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Original + Vapor Grip,80,9,28,4,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb,81,10,28,1,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Transorb,82,10,28,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Transorb,83,10,28,3,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
DGA + R_Transorb,84,10,28,4,5,3,2,2,2,1,1,1,1,1,1,1,1,1,1,480
DGA + R_Transorb + Vapor Grip,85,11,28,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,400
DGA + R_Transorb + Vapor Grip,86,11,28,2,5,3,2,1,1,1,1,1,1,1,1,1,1,1,1,440
DGA + R_Transorb + Vapor Grip,87,11,28,3,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,420
DGA + R_Transorb + Vapor Grip,88,11,28,4,5,3,2,2,1,1,1,1,1,1,1,1,1,1,1,460
